بطولة,الفريق الاول,النتيجة,الفريق الثاني,ميعاد المباراة
الدوري المصري,الجونة,1 - 1,زد,18:00
الدوري المصري,الأهلي,0 - 2,بيراميدز,21:00
الدوري المصري,الإسماعيلي,0 - 3,غزل المحلة,21:00
الدوري الإنجليزي,تشيلسي,2 - 0,فولهام,14:30
الدوري الإنجليزي,مانشستر يونايتد,3 - 2,بيرنلي,17:00
الدوري الإنجليزي,توتنهام هوتسبر,0 - 1,بورنموث,17:00
الدوري الإنجليزي,وولفرهامبتون,2 - 3,ايفرتون,17:00
الدوري الإنجليزي,سندرلاند,2 - 1,برينتفورد,17:00
الدوري الإنجليزي,ليدز يونايتد,0 - 0,نيوكاسل,19:30
الدوري الإسباني,ألافيس,1 - 1,اتلتيكو مدريد,18:00
الدوري الإسباني,ريال أوفييدو,1 - 0,ريال سوسيداد,20:00
الدوري الإسباني,جيرونا,0 - 2,اشبيلية,20:30
الدوري الإسباني,ريال مدريد,2 - 1,مايوركا,22:30
الدوري الإيطالي,بولونيا,1 - 0,كومو,19:30
الدوري الإيطالي,بارما,1 - 1,أتالانتا,19:30
الدوري الإيطالي,نابولي,1 - 0,كالياري,21:45
الدوري الإيطالي,بيزا كالتشيو,0 - 1,روما,21:45
الدوري الفرنسي,لوريان,1 - 7,ليل,18:00
الدوري الفرنسي,نانت,1 - 0,اوكسير,20:00
الدوري الفرنسي,تولوز,3 - 6,باريس سان جيرمان,22:05
الدوري الألماني,هوفنهايم,1 - 3,آ. فرانكفورت,16:30
الدوري الألماني,فيردر بريمن,3 - 3,باير ليفركوزن,16:30
الدوري الألماني,شتوتجارت,1 - 0,مونشنجلادباخ,16:30
الدوري الألماني,لايبزيج,2 - 0,هايدنهايم,16:30
الدوري الألماني,أوجسبورج,2 - 3,بايرن ميونيخ,19:30
دوري القسم الثاني-أ,راية الرياضي,1 - 0,السكة الحديد مودرن,16:30
دوري القسم الثاني-أ,بترول أسيوط,0 - 0,أبو قير للاسمدة,16:30
دوري القسم الثاني-أ,ديروط,1 - 0,مالية كفر الزيات,16:30
دوري القسم الثاني-أ,لافيينا أف سي,0 - 1,القناة,18:30
دوري القسم الثاني-أ,المصرية للاتصالات,0 - 1,الداخلية,20:30
الدوري السعودي,الفتح,1 - 2,الفيحاء,18:55
الدوري السعودي,الأخدود,2 - 5,الاتحاد,21:00
الدوري السعودي,القادسية,3 - 1,النجمة,21:00
الدوري التركي,كوجالي سبور,1 - 1,قيصري سبور,19:00
الدوري التركي,قاسم باشا,2 - 3,غازي عنتاب بي.بي.كي,19:00
الدوري التركي,انطاليا سبور,1 - 2,فاتح كاراجومروك,21:30
الدوري التركي,جالاتا سراي,3 - 1,ريزه سبور,21:30
الدوري البرتغالي,كازا بيا,0 - 2,ناسيونال ماديرا,17:30
الدوري البرتغالي,اي في اس فوتبول,0 - 1,فاماليكاو,20:00
الدوري البرتغالي,فيتوريا جيماريش,1 - 1,أروكا,20:00
الدوري البرتغالي,سبورتينج لشبونة,1 - 2,بورتو,22:30
دوري نجوم قطر,السيلية,1 - 2,الشمال,18:30
دوري نجوم قطر,نادي قطر,2 - 0,الأهلي القطري,20:30
